code,name,star
11281,Pan Pacific Seattle,4
11283,Embassy Suites by Hilton Lexington Green,4
11285,voco Times Square South,3
11288,Dallas/Fort Worth Airport Marriott,4
11289,Aloft Santa Clara,3
11290,TownePlace Suites Newark Silicon Valley,3
11302,Element New York Times Square West,3
11303,Fairfield Inn & Suites by Marriott Miami Airport South,3
11308,Citadines Connect Fifth Avenue New York,3
11309,Hampton Inn Manhattan-35th St/Empire State Bldg,3
11311,Wingate by Wyndham Bowling Green,3
11314,Embassy Suites by Hilton Santa Clara Silicon Valley,4
11315,Hyatt Regency Houston,4
11316,Hotel Ylem,3
11320,Home2 Suites by Hilton Lakeland,3
11325,Sheraton Tribeca New York Hotel,4
11326,"Winter Haven, Autograph Collection",4
11330,Hilton DFW Lakes Executive Conference Center,4
11342,Wyndham Garden San Jose Airport,3
11343,Wyndham Garden San Jose Silicon Valley,3
11345,Blue Moon Hotel,4
11351,The Gotham Hotel NY,4
11352,Hyatt Grand Central New York,4
11353,"The New Yorker, A Wyndham Hotel",4
11359,The Vue Inn Brooklyn,2
11361,The Assemblage John Street,4
11362,Wyndham Garden Ft Lauderdale Airport & Cruise Port,3
11363,Four Points By Sheraton San Jose Downtown,3
11369,InterContinental New York Barclay,5
11402,Hotel d?Lins Ontario Airport,3
11404,Elmhurst Hotel,2
11406,Motif Seattle,4
11407,Best Western Fort Lauderdale Airport/Cruise Port,3
11410,Homewood Suites by Hilton Oakland - Waterfront,3
11411,Hotel 1550 SFO Airport,3
11412,Hampton Inn & Suites by Hilton Irvine - Orange County Airport,3
11422,Thunderbird Beach Hotel,3
11424,Doubletree by Hilton Sacramento,3
11425,Anaheim Portofino Inn & Suites,3
11427,Best Western Executive Hotel of New Haven-West Haven,3
11428,AC Hotel by Marriott Miami Airport West/Doral,4
,,
11436,Fullerton Marriott at California State University,4
11442,Hilton Garden Inn West Palm Beach Airport,3
11444,Bogart Hotel,3
11445,"The Lexington Hotel, Autograph Collection",4
11454,Courtyard by Marriott Sarasota Bradenton Airport,3
11457,Crowne Plaza Seattle Airport,4
11460,Hampton Inn West Palm Beach Central Airport,3
11467,Holiday Inn L.I. City-Manhattan View,3
11483,"Andaz Wall Street - A concept by Hyatt, New York",5
11484,Element Houston Vintage Park,3
11485,Best Western Plus Killeen/Fort Hood Hotel & Suites,3
11502,Warwick Seattle,4
11525,Hilton Garden Inn Davis Downtown,3
11527,Best Western Royal Palace Inn and Suites LA,3
11530,Quality Inn Near Sunset Park,3
11531,"The L Hotel, an Ascend Hotel Collection Member",3
11532,Kimpton Hotel Palomar San Diego,5
11533,Hotel Solamar,4
11539,Larkspur Landing South San Francisco,3
11580,Residence Inn by Marriott Miami Coconut Grove,3
11588,Mystic Marriott Hotel & Spa,4
11602,YOTEL San Francisco,4
11617,Atrium Hotel & Suites DFW Airport,3
11618,Aloft Frisco,3
11619,The Row Hotel,3
11620,La Quinta Inn & Suites by Wyndham Dublin - Pleasanton,3
11621,Hotel June Los Angeles,3
11633,InterContinental New York Times Square,4
,,
